customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4873-ILOLJ,Male,0,Yes,Yes,66,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,One year,No,Electronic check,70.19547034100191,5817,Yes
5028-HTLJB,Female,0,No,Yes,17,No,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),110.43820745979598,876.15,Yes
5442-PPTJY,Male,1,Yes,Yes,49,Yes,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,29.776323158467306,1496.9,Yes
0106-GHRQR,Female,0,No,No,29,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),25.4096918818812,3268.05,No
5956-YHHRX,Male,1,No,No,65,No,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.86904028695137,6910.3,No
7785-RDVIG,Female,0,No,Yes,4,No,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),96.123007641786,1033.9,No
0310-MVLET,Male,0,No,Yes,41,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Two year,No,Electronic check,44.755285787975765,475.25,No
7601-DHFWZ,Female,0,Yes,No,4,No,No,No,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),50.83552970059533,3309.25,Yes
4132-KALRO,Male,0,No,Yes,49,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Two year,Yes,Mailed check,49.43292249545385,1442.6,Yes
7450-NWRTR,Male,0,Yes,Yes,57,No,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),83.35478420120208,731.3,No
0324-BRPCJ,Male,1,No,Yes,7,No,No,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),24.401756452392426,3334.9,Yes
2499-AJYUA,Male,1,Yes,Yes,30,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,67.43485931900454,767.9,No
1154-HYWWO,Female,0,No,Yes,11,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.70423339583089,6322.1,No
6769-DYBQN,Female,1,No,Yes,20,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),100.63372336308788,49.65,Yes
2636-ALXXZ,Female,0,Yes,Yes,61,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,No,Electronic check,56.50663193315151,272,Yes
0811-GSDTP,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.27100541855566,5681.1,Yes
1686-STUHN,Male,0,Yes,No,25,No,No,No,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Mailed check,21.19641968226799,2748.7,No
4706-DGAHW,Male,0,Yes,No,39,No,Yes,DSL,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),24.105563510875758,1712.9,Yes
0847-HGRML,Male,1,No,Yes,64,Yes,No phone service,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),86.09301048871333,20.65,No
0347-UBKUZ,Male,0,Yes,Yes,58,No,No,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.31043978670387,1888.25,Yes
3399-BMLVW,Male,1,Yes,Yes,14,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,89.60857625252125,24.4,No
3967-VQOGC,Female,0,Yes,Yes,0,No,Yes,No,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.32037296401495,536.4,Yes
2990-HWIML,Female,0,No,No,10,No,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Two year,Yes,Mailed check,28.764294980207563,195.65,No
5935-FCCNB,Female,1,No,No,54,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),87.94180953030288,7774.05,No
8165-ZJRNM,Female,0,No,No,1,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),36.51563206025391,5438.95,Yes
5939-SXWHM,Female,0,No,No,64,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),28.100550903616934,3901.25,No
4255-DDUOU,Female,1,Yes,Yes,43,No,Yes,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,94.34466346071153,1855.65,Yes
3733-LSYCE,Female,1,No,Yes,15,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Mailed check,107.63531476870725,1359.5,Yes
4853-OITSN,Female,1,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),90.27934569421845,4242.35,Yes
4567-AKPIA,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,99.2101320078827,162.45,No
8095-WANWK,Male,0,Yes,Yes,46,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Mailed check,117.85435958972239,3759.05,Yes
6827-IEAUQ,Male,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,31.792969096371795,6770.85,No
7248-VZQLC,Male,1,Yes,No,9,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,115.24783151952037,385.55,Yes
0516-OOHAR,Male,0,Yes,No,57,No,Yes,No,No internet service,Yes,No,Yes,No internet service,Yes,One year,Yes,Electronic check,78.67037945175531,900.5,Yes
7162-WPHPM,Male,0,Yes,No,61,No,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),99.98194231317456,3838.2,No
3585-YNADK,Male,1,No,No,5,No,No phone service,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,83.59200274956083,2361.8,No
8685-WHQPW,Female,1,Yes,No,66,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,75.5387977729276,526.7,Yes
4837-PZTIC,Female,1,Yes,Yes,40,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),88.96370889917962,284.35,No
0621-CXBKL,Male,1,Yes,Yes,42,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),50.43599578355477,4976.15,Yes
9754-CLVZW,Female,0,Yes,No,17,No,No,Fiber optic,No,No internet service,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),111.13928811093722,77.15,No
0434-CSFON,Female,0,No,Yes,57,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,29.83690349160576,3605.2,No
4647-MUZON,Female,0,No,Yes,59,No,No,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.212134000689446,3342,Yes
0330-IVZHA,Female,0,Yes,Yes,26,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),21.381816496650583,3231.05,No
7633-MVPUY,Female,1,Yes,Yes,67,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.51796628843222,96.45,Yes
3777-XROBG,Male,0,Yes,No,21,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,No,Two year,Yes,Mailed check,40.18041425271114,2181.75,Yes
2144-BFDSO,Female,1,Yes,Yes,23,No,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),23.237901498202437,4744.35,No
1325-USMEC,Male,0,No,Yes,39,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),67.67329341678652,181.65,Yes
1488-SYSFC,Male,0,No,Yes,65,No,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),65.34792220648879,220.35,No
8498-XXGWA,Male,0,Yes,No,39,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Credit card (automatic),26.06341711181622,2715.3,No
7054-ENNGU,Female,1,Yes,Yes,5,No,Yes,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.565978406545625,860.85,Yes
4139-SUGLD,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,No,Credit card (automatic),114.0588771268688,1849.2,No
6128-AQBMT,Male,1,Yes,No,29,Yes,No,No,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),29.379030763297244,4783.5,Yes
8292-ITGYJ,Male,1,Yes,No,20,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),48.90437421037655,19,Yes
5336-UFNZP,Male,0,No,No,61,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),21.854171044693185,701.05,No
8417-FMLZI,Female,1,No,Yes,9,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,One year,Yes,Mailed check,33.21316386368856,2264.05,No
7128-GGCNO,Male,0,Yes,No,12,No,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),88.53940930031185,2033.05,Yes
7932-WPTDS,Male,1,No,No,8,Yes,Yes,No,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),55.10500831662535,6975.25,Yes
2418-TPEUN,Male,0,No,No,67,No,No,No,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),63.683695353251615,55.3,Yes
4990-ALDGW,Male,1,No,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),34.02632871063094,7611.55,No
8174-TBVCF,Female,1,Yes,No,23,No,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,86.80508737557582,502.6,No
2088-IEBAU,Male,0,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),93.77792060817099,314.6,Yes
5481-NTDOH,Male,0,No,No,60,No,No,DSL,Yes,No,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),36.45176097643235,878.35,No
6388-TABGU,Male,0,Yes,Yes,40,No,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Mailed check,22.771843093804186,90.75,Yes
7181-OQCUT,Male,0,No,Yes,4,No,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),26.38458399805636,1064.95,No
6586-PSJOX,Male,1,Yes,No,49,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,84.28309859890328,654.85,Yes
9845-QOMAD,Male,1,No,Yes,3,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),31.868815550731313,4524.05,Yes
4456-RHSNB,Female,1,Yes,Yes,50,No,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),67.88884283396797,2626.15,Yes
6439-GTPCA,Male,1,Yes,Yes,51,No,No,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),33.59047385808009,4178.65,Yes
3162-ZJZFU,Female,0,No,No,38,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,35.349878844626595,3874.1,Yes
7426-WEIJX,Female,1,No,No,7,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.68823058582262,894.3,Yes
6416-TVAIH,Male,0,Yes,No,44,Yes,No,No,No internet service,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),50.49283771376798,1423.35,No
8751-EDEKA,Female,1,Yes,No,27,Yes,No,No,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),27.27462524032246,1614.05,Yes
8945-MUQUF,Male,0,No,No,26,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,One year,No,Credit card (automatic),57.843108171712736,7611.85,Yes
7328-ZJAJO,Female,0,No,No,64,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),78.32732311656719,1406.9,Yes
2479-BRAMR,Male,0,No,No,33,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,55.186960766775755,20,Yes
4083-BFNYK,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),89.1107038989512,7142.5,Yes
0537-QYZZN,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.76590268795549,5817,No
8819-WFGGJ,Male,1,Yes,No,37,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Credit card (automatic),88.25894192976159,6687.85,Yes
9297-FVVDH,Female,0,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.38971274296557,3121.45,Yes
4139-JPIAM,Female,1,No,No,23,No,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Two year,No,Bank transfer (automatic),42.09807483801268,1151.05,Yes
0871-OPBXW,Female,1,No,No,38,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,37.29037353805515,1851.45,Yes
9025-ZRPVR,Female,0,Yes,No,20,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),79.52600466880764,3753.2,No
5519-NPHVG,Female,1,Yes,Yes,46,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Electronic check,78.03513944813542,223.6,No
1501-SGHBW,Male,1,Yes,No,47,Yes,No phone service,No,No,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),69.5148825343181,472.65,Yes
2516-XSJKX,Female,1,Yes,No,12,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Two year,No,Credit card (automatic),18.68749574517358,1043.8,Yes
8388-DMKAE,Female,0,Yes,No,2,No,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,74.05144210555284,3846.35,No
4729-XKASR,Male,0,Yes,No,31,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),111.9962047157344,3756.4,Yes
3278-FSIXX,Male,0,No,Yes,34,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.87505775584272,79.5,No
3079-BCHLN,Male,0,Yes,No,18,No,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,115.49371892868517,1182.55,Yes
3235-ETOOB,Female,1,Yes,Yes,13,No,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,54.104046259368275,7544.3,No
1163-VIPRI,Female,1,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,32.30537750304069,5012.35,No
8628-MFKAX,Female,1,Yes,No,67,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,58.28954320017742,106.85,Yes
2266-SJNAT,Female,1,Yes,No,44,Yes,No phone service,No,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),67.95843694881619,5886.85,Yes
8433-WPJTV,Male,1,Yes,Yes,18,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,81.5111732227474,1329.15,Yes
8245-UMPYT,Male,1,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,68.99025528324458,1313.25,Yes
1293-HHSHJ,Female,0,No,Yes,65,No,Yes,No,No internet service,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,72.19022205432492,2540.1,No
7562-GSUHK,Female,1,Yes,Yes,65,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,20.66873735493934,864.55,No
8091-TTVAX,Female,1,No,No,44,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No,Two year,Yes,Mailed check,43.73882699796593,402.5,Yes
3320-VEOYC,Female,1,No,Yes,66,No,Yes,No,Yes,No internet service,No,Yes,No,No,One year,No,Credit card (automatic),49.47501412288679,1537.85,No
2815-CPTUL,Male,0,No,Yes,68,No,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),117.45239805708563,5042.75,Yes
9971-ZWPBF,Male,1,Yes,Yes,2,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,47.954557717946884,3969.35,Yes
0334-ZFJSR,Female,1,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,108.35617430684067,6042.7,Yes
2933-FILNV,Male,0,Yes,No,41,No,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),48.87598815437842,3545.05,No
7688-AWMDX,Female,1,Yes,No,39,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,27.909088269760304,56.25,Yes
7599-FKVXZ,Female,0,Yes,No,49,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),43.135548605624905,886.4,No
6171-ZTVYB,Male,0,Yes,Yes,34,No,No,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.669252683886945,5742.9,Yes
8395-ETZKQ,Female,1,Yes,Yes,23,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),116.56398368584291,48.55,No
0410-IPFTY,Male,1,Yes,No,16,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),86.01629630950734,4684.3,No
5845-BZZIB,Female,0,Yes,No,39,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),111.88394005990708,754.5,No
8066-POXGX,Male,1,Yes,Yes,65,No,Yes,DSL,Yes,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),102.1669997315846,449.75,No
4881-JVQOD,Female,1,No,No,43,No,Yes,No,No internet service,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),76.3991483131488,369.05,Yes
6598-RFFVI,Male,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,No,Two year,No,Electronic check,86.1264863866791,4504.55,No
0356-ERHVT,Female,0,Yes,Yes,5,No,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,81.04613796645117,8477.6,No
9490-DFPMD,Female,1,Yes,Yes,65,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),85.20943413227457,411.6,Yes
1013-QCWAM,Male,0,No,Yes,20,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),44.85975329504126,225.65,No
0707-HOVVN,Female,1,Yes,Yes,34,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,59.266575987897674,245.15,Yes
8740-CRYFY,Male,1,Yes,Yes,28,Yes,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),77.80788906561371,4464.8,No
4682-BLBUC,Male,1,No,No,6,Yes,Yes,No,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,21.860810738113642,1815,Yes
2968-SSGAA,Female,1,Yes,No,52,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,66.77490759087019,1240.15,No
4877-TSOFF,Female,0,No,No,36,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),104.65255680648424,1022.6,No
5312-UXESG,Female,1,No,Yes,22,No,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,67.73295662232564,109.3,No
0562-KBDVM,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.75849854987769,1145.7,No
9362-MWODR,Male,1,No,Yes,47,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Two year,No,Mailed check,38.541464611776675,4853.75,Yes
7519-JTWQH,Female,1,Yes,Yes,9,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Credit card (automatic),98.0815060705365,6767.1,No
1728-BQDMA,Female,0,No,Yes,23,No,No,Fiber optic,No,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,54.31726794777165,1912.15,Yes
9089-UOWJG,Female,1,No,Yes,46,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),114.38704912469422,373.5,Yes
5708-EVONK,Male,0,Yes,No,52,No,Yes,No,No internet service,Yes,No,Yes,Yes,No internet service,One year,Yes,Electronic check,118.11833823008772,755.4,Yes
9066-QRSDU,Female,0,Yes,No,38,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),110.30805453088222,1990.5,Yes
9442-JTWDL,Male,1,Yes,No,66,Yes,No,No,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),26.780112854022466,514,No
9481-WHGWY,Female,1,No,Yes,65,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),51.734907127350695,78.3,No
6847-KJLTS,Male,1,Yes,No,5,No,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),113.236332327803,967.85,No
6198-PNNSZ,Female,1,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,99.10559613186598,4759.85,No
6873-UDNLD,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,109.82395072539667,935.9,No
0983-TATYJ,Male,1,Yes,Yes,35,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.79159596093044,5899.85,No
5275-SQEIZ,Female,1,Yes,No,2,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),66.52995761284679,3571.6,Yes
9412-ARGBX,Female,1,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,28.95287985894733,3678.3,Yes
3197-ARFOY,Female,1,Yes,No,44,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,102.61689000347145,2335.3,No
1716-LSAMB,Male,1,Yes,Yes,43,No,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,93.13672561625809,6689,No
7248-VZQLC,Female,0,Yes,No,32,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.167098603048927,223.75,No
4625-EWPTF,Male,1,No,No,59,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),39.29616625432618,4200.25,Yes
5959-BELXA,Male,0,No,No,69,No,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,One year,No,Electronic check,74.25639511315855,4525.8,No
7926-IJOOU,Male,1,Yes,Yes,25,No,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),87.03244140749618,174.3,No
7601-WFVZV,Female,1,No,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Credit card (automatic),32.08586155823115,164.5,No
5935-FCCNB,Male,1,No,No,1,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,Two year,No,Mailed check,42.85489425546355,1845.9,Yes
2176-LVPNX,Male,0,No,Yes,46,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,37.657576276755904,1710.9,Yes
